firm,ticker,quarter_end,revenue_ltm,growth_yoy,op_margin_ltm,market_cap,net_debt,ev,ev_rev,log_ev_rev,priced_at,priced_at_filing,log_ev_rev_qend,log_rev,active_contributors,top_author_share,contributor_gini,bus_factor_50,churn_gini,release_cadence,merge_share,commit_volume,secret_incidence,repo_health_index_z,repo_health_index_pca
cloudera,CLDR,2018-01-31,370757000.0,,-1.0526921946180383,1516933890.0,-43247000.0,1473686890.0,3.9748053037434223,1.3799757667163925,2018-04-04,1,1.731032597542462,19.731057419451414,63,0.1538,0.653,8,0.7527,7,0.0,1138,0.0,-0.28513199544743184,-1.574091961226097
cloudera,CLDR,2018-04-30,393591000.0,,-0.5548246784098214,2519928040.0,-52970000.0,2466958040.0,6.267821266238303,1.835428808809335,2018-06-06,1,1.6440151235452518,19.790822857027287,66,0.1572,0.6463,8,0.742,9,0.0,1196,0.0,-0.24999737472972744,-1.6188195479126815
cloudera,CLDR,2018-07-31,414101000.0,,-0.4504673980502341,2655701950.0,-52970000.0,2602731950.0,6.285258789522363,1.8382070169339504,2018-09-06,1,1.5393155465457522,19.841620463388512,59,0.1589,0.6262,7,0.7146,9,0.0,1290,0.0,-0.21236377249718047,-1.8784098371897358
cloudera,CLDR,2018-10-31,437715000.0,,-0.35707937813417406,1945086070.0,-64632000.0,1880454070.0,4.296069520121541,1.457700539599264,2018-12-06,1,1.515619714806443,19.897078571621897,62,0.1404,0.6468,7,0.7227,8,0.0,1311,0.0,-0.18583461506841356,-1.7011767061687706
cloudera,CLDR,2019-01-31,476495000.0,0.2851948850594863,-0.4146654214629744,1748387040.0,-158672000.0,1589715040.0,3.336268040588044,1.2048528291668756,2019-03-29,1,1.433867062575918,19.981967787824043,60,0.1597,0.6735,6,0.7249,8,0.0,1290,0.0,-0.2733032016147695,-1.9128511543511004
cloudera,CLDR,2019-04-30,560504000.0,0.4240772781897959,-0.4476649586800451,2387897600.0,-107362000.0,2280535600.0,4.068723149165751,1.403329227669588,2019-06-05,1,1.6480288291104204,20.144346936936305,64,0.1568,0.6778,6,0.7124,8,0.0,1250,0.0,-0.21426296391446983,-1.9165394907409243
cloudera,CLDR,2019-07-31,646877000.0,0.5621237330989299,-0.4732970873906477,1977032470.0,-88075000.0,1888957470.0,2.920118461469491,1.071624184453692,2019-09-04,1,0.8749391688424338,20.28766672620067,71,0.139,0.6815,7,0.7331,6,0.0,1173,0.0,-0.1907196026237483,-1.5787223571524494
cloudera,CLDR,2019-10-31,726986000.0,0.6608660886649989,-0.4983342182655512,3016588800.0,-113203000.0,2903385800.0,3.9937300030537037,1.384725632071067,2019-12-06,1,1.1244135997881193,20.404417778090913,67,0.1496,0.6626,7,0.7476,6,0.0,1083,0.0,-0.2730319629472227,-1.6117546670030647
cloudera,CLDR,2020-01-31,794191000.0,0.6667352228250034,-0.4277988544317425,2192829320.0,-107638000.0,2085191320.0,2.625553953645911,0.9652919037402442,2020-03-27,1,1.253423757005602,20.49283454443907,74,0.1542,0.6771,7,0.9922,4,0.0,1018,0.0,-1.0521724802533696,-0.5244086422399481
cloudera,CLDR,2020-04-30,817183000.0,0.45794320825542734,-0.35709014994193466,2911588980.0,-160925000.0,2750663980.0,3.3660318190662313,1.2137345488036226,2020-06-05,1,1.0278647479900354,20.521373617950292,70,0.1577,0.6341,8,0.9912,5,0.0,951,0.0,-1.0419058522679097,-0.5059395216078649
cloudera,CLDR,2020-07-31,834808000.0,0.2905204544295128,-0.2865868558997997,3340463280.0,-143171000.0,3197292280.0,3.8299732153980317,1.3428578097994408,2020-09-04,1,1.3475028818572277,20.542712316255088,63,0.182,0.6369,7,0.9918,5,0.0,835,0.0,-1.1460653494382327,-0.7830173744267499
cloudera,CLDR,2020-10-31,854415000.0,0.17528398070939466,-0.19792138480714874,3750115850.0,-96114000.0,3654001850.0,4.2766124775431145,1.453161219000698,2020-12-04,1,1.201538073668086,20.565927582195872,60,0.1492,0.6219,7,0.9906,3,0.0,784,0.0,-1.0744463966214572,-0.6053914112679656
cloudera,CLDR,2021-01-31,869258000.0,0.09452008395965206,-0.17976826212700947,3590936140.0,188417000.0,3779353140.0,4.347792185979307,1.4696681728037837,2021-03-25,1,1.710381514400101,20.583150532146103,58,0.149,0.61,7,0.8265,3,0.0,745,0.0,-0.5523533737199824,-1.3365695810341989
